County,Year,SFunits,MFunits,TOTALunits,SF_Share,MF_Share,VeryLowunits,Lowunits,Moderateunits,AboveModerateunits,VeryLow_Share,Low_Share,Moderate_Share,AboveModerate_Share,Affordableunits,Affordableunits_Share,Source
San Francisco County,1992,70,559,629,0.1113,0.8887,,,,,,,,,,,CIRB
San Mateo County,1992,342,596,938,0.3646,0.6354,,,,,,,,,,,CIRB
Santa Clara County,1992,1693,1143,2836,0.597,0.403,,,,,,,,,,,CIRB
Solano County,1992,1609,194,1803,0.8924,0.1076,,,,,,,,,,,CIRB
Sonoma County,1992,1817,159,1976,0.9195,0.0805,,,,,,,,,,,CIRB
Alameda County,1993,2052,515,2567,0.7994,0.2006,,,,,,,,,,,CIRB
Contra Costa County,1993,3006,427,3433,0.8756,0.1244,,,,,,,,,,,CIRB
Marin County,1993,221,80,301,0.7342,0.2658,,,,,,,,,,,CIRB
Napa County,1993,291,124,415,0.7012,0.2988,,,,,,,,,,,CIRB
San Francisco County,1993,82,919,1001,0.0819,0.9181,,,,,,,,,,,CIRB
San Mateo County,1993,421,89,510,0.8255,0.1745,,,,,,,,,,,CIRB
Santa Clara County,1993,1822,1617,3439,0.5298,0.4702,,,,,,,,,,,CIRB
Solano County,1993,1419,50,1469,0.966,0.034,,,,,,,,,,,CIRB
Sonoma County,1993,1687,252,1939,0.87,0.13,,,,,,,,,,,CIRB
Alameda County,1994,2352,776,3128,0.7519,0.2481,,,,,,,,,,,CIRB
Contra Costa County,1994,3680,189,3869,0.9512,0.0488,,,,,,,,,,,CIRB
Marin County,1994,318,33,351,0.906,0.094,,,,,,,,,,,CIRB
Napa County,1994,382,12,394,0.9695,0.0305,,,,,,,,,,,CIRB
San Francisco County,1994,107,841,948,0.1129,0.8871,,,,,,,,,,,CIRB
San Mateo County,1994,599,301,900,0.6656,0.3344,,,,,,,,,,,CIRB
Santa Clara County,1994,2127,1827,3954,0.5379,0.4621,,,,,,,,,,,CIRB
Solano County,1994,1380,121,1501,0.9194,0.0806,,,,,,,,,,,CIRB
Sonoma County,1994,2117,334,2451,0.8637,0.1363,,,,,,,,,,,CIRB
Alameda County,1995,2492,458,2950,0.8447,0.1553,,,,,,,,,,,CIRB
Contra Costa County,1995,3047,307,3354,0.9085,0.0915,,,,,,,,,,,CIRB
Marin County,1995,337,241,578,0.583,0.417,,,,,,,,,,,CIRB
Napa County,1995,299,17,316,0.9462,0.0538,,,,,,,,,,,CIRB
San Francisco County,1995,106,409,515,0.2058,0.7942,,,,,,,,,,,CIRB
San Mateo County,1995,717,707,1424,0.5035,0.4965,,,,,,,,,,,CIRB
Santa Clara County,1995,2199,1285,3484,0.6312,0.3688,,,,,,,,,,,CIRB
Solano County,1995,946,169,1115,0.8484,0.1516,,,,,,,,,,,CIRB
Sonoma County,1995,1605,322,1927,0.8329,0.1671,,,,,,,,,,,CIRB
Alameda County,1996,3102,796,3898,0.7958,0.2042,,,,,,,,,,,CIRB
Contra Costa County,1996,3137,415,3552,0.8832,0.1168,,,,,,,,,,,CIRB
Marin County,1996,348,394,742,0.469,0.531,,,,,,,,,,,CIRB
Napa County,1996,228,4,232,0.9828,0.0172,,,,,,,,,,,CIRB
San Francisco County,1996,201,1277,1478,0.136,0.864,,,,,,,,,,,CIRB
San Mateo County,1996,673,432,1105,0.609,0.391,,,,,,,,,,,CIRB
Santa Clara County,1996,4042,3459,7501,0.5389,0.4611,,,,,,,,,,,CIRB
Solano County,1996,1180,557,1737,0.6793,0.3207,,,,,,,,,,,CIRB
Sonoma County,1996,1389,75,1464,0.9488,0.0512,,,,,,,,,,,CIRB
Alameda County,1997,4189,2311,6500,0.6445,0.3555,,,,,,,,,,,CIRB
Contra Costa County,1997,3093,421,3514,0.8802,0.1198,,,,,,,,,,,CIRB
Marin County,1997,420,178,598,0.7023,0.2977,,,,,,,,,,,CIRB
Napa County,1997,350,0,350,1,0,,,,,,,,,,,CIRB
San Francisco County,1997,210,1511,1721,0.122,0.878,,,,,,,,,,,CIRB
San Mateo County,1997,922,597,1519,0.607,0.393,,,,,,,,,,,CIRB
Santa Clara County,1997,4367,4443,8810,0.4957,0.5043,,,,,,,,,,,CIRB
Solano County,1997,1456,86,1542,0.9442,0.0558,,,,,,,,,,,CIRB
Sonoma County,1997,1783,338,2121,0.8406,0.1594,,,,,,,,,,,CIRB
Alameda County,1998,3774,2123,5897,0.64,0.36,,,,,,,,,,,CIRB
Contra Costa County,1998,3143,1106,4249,0.7397,0.2603,,,,,,,,,,,CIRB
Marin County,1998,604,109,713,0.8471,0.1529,,,,,,,,,,,CIRB
Napa County,1998,455,28,483,0.942,0.058,,,,,,,,,,,CIRB
San Francisco County,1998,184,2152,2336,0.0788,0.9212,,,,,,,,,,,CIRB
San Mateo County,1998,988,1187,2175,0.4543,0.5457,,,,,,,,,,,CIRB
Santa Clara County,1998,3911,3615,7526,0.5197,0.4803,,,,,,,,,,,CIRB
Solano County,1998,1768,436,2204,0.8022,0.1978,,,,,,,,,,,CIRB
Sonoma County,1998,1996,968,2964,0.6734,0.3266,,,,,,,,,,,CIRB
Alameda County,1999,3016,1495,4511,0.6686,0.3314,,,,,,,,,,,CIRB
Contra Costa County,1999,4081,508,4589,0.8893,0.1107,,,,,,,,,,,CIRB
Marin County,1999,699,37,736,0.9497,0.0503,,,,,,,,,,,CIRB
Napa County,1999,597,123,720,0.8292,0.1708,,,,,,,,,,,CIRB
San Francisco County,1999,114,3697,3811,0.0299,0.9701,,,,,,,,,,,CIRB
San Mateo County,1999,768,133,901,0.8524,0.1476,,,,,,,,,,,CIRB
Santa Clara County,1999,3333,3677,7010,0.4755,0.5245,,,,,,,,,,,CIRB
Solano County,1999,1430,523,1953,0.7322,0.2678,,,,,,,,,,,CIRB
Sonoma County,1999,2361,691,3052,0.7736,0.2264,,,,,,,,,,,CIRB
Alameda County,2000,2893,1315,4208,0.6875,0.3125,,,,,,,,,,,CIRB
Contra Costa County,2000,4344,1295,5639,0.7703,0.2297,,,,,,,,,,,CIRB
Marin County,2000,479,154,633,0.7567,0.2433,,,,,,,,,,,CIRB
Napa County,2000,531,4,535,0.9925,0.0075,,,,,,,,,,,CIRB
San Francisco County,2000,79,3286,3365,0.0235,0.9765,,,,,,,,,,,CIRB
San Mateo County,2000,846,1471,2317,0.3651,0.6349,,,,,,,,,,,CIRB
Santa Clara County,2000,2834,4220,7054,0.4018,0.5982,,,,,,,,,,,CIRB
Solano County,2000,2050,296,2346,0.8738,0.1262,,,,,,,,,,,CIRB
Sonoma County,2000,2034,521,2555,0.7961,0.2039,,,,,,,,,,,CIRB
Alameda County,2001,1613,1623,3236,0.4985,0.5015,,,,,,,,,,,CIRB
Contra Costa County,2001,4152,984,5136,0.8084,0.1916,,,,,,,,,,,CIRB
Marin County,2001,188,187,375,0.5013,0.4987,,,,,,,,,,,CIRB
Napa County,2001,773,134,907,0.8523,0.1477,,,,,,,,,,,CIRB
San Francisco County,2001,96,1723,1819,0.0528,0.9472,,,,,,,,,,,CIRB
San Mateo County,2001,722,719,1441,0.501,0.499,,,,,,,,,,,CIRB
Santa Clara County,2001,1641,4319,5960,0.2753,0.7247,,,,,,,,,,,CIRB
Solano County,2001,1821,739,2560,0.7113,0.2887,,,,,,,,,,,CIRB
Sonoma County,2001,1646,933,2579,0.6382,0.3618,,,,,,,,,,,CIRB
Alameda County,2002,2306,1266,3572,0.6456,0.3544,,,,,,,,,,,CIRB
Contra Costa County,2002,5076,729,5805,0.8744,0.1256,,,,,,,,,,,CIRB
Marin County,2002,288,152,440,0.6545,0.3455,,,,,,,,,,,CIRB
Napa County,2002,610,584,1194,0.5109,0.4891,,,,,,,,,,,CIRB
San Francisco County,2002,88,1242,1330,0.0662,0.9338,,,,,,,,,,,CIRB
San Mateo County,2002,653,770,1423,0.4589,0.5411,,,,,,,,,,,CIRB
Santa Clara County,2002,2057,2456,4513,0.4558,0.5442,,,,,,,,,,,CIRB
Solano County,2002,1791,670,2461,0.7278,0.2722,,,,,,,,,,,CIRB
Sonoma County,2002,1295,540,1835,0.7057,0.2943,,,,,,,,,,,CIRB
Alameda County,2003,2087,2433,4520,0.4617,0.5383,,,,,,,,,,,CIRB
Contra Costa County,2003,4965,1930,6895,0.7201,0.2799,,,,,,,,,,,CIRB
Marin County,2003,652,60,712,0.9157,0.0843,,,,,,,,,,,CIRB
Napa County,2003,593,56,649,0.9137,0.0863,,,,,,,,,,,CIRB
San Francisco County,2003,73,1509,1582,0.0461,0.9539,,,,,,,,,,,CIRB
San Mateo County,2003,735,569,1304,0.5637,0.4363,,,,,,,,,,,CIRB
Santa Clara County,2003,2320,5170,7490,0.3097,0.6903,,,,,,,,,,,CIRB
Solano County,2003,2134,544,2678,0.7969,0.2031,,,,,,,,,,,CIRB
Sonoma County,2003,1388,951,2339,0.5934,0.4066,,,,,,,,,,,CIRB
Alameda County,2004,2269,3422,5691,0.3987,0.6013,,,,,,,,,,,CIRB
Contra Costa County,2004,4222,1261,5483,0.77,0.23,,,,,,,,,,,CIRB
Marin County,2004,585,442,1027,0.5696,0.4304,,,,,,,,,,,CIRB
Napa County,2004,661,263,924,0.7154,0.2846,,,,,,,,,,,CIRB
San Francisco County,2004,65,2303,2368,0.0274,0.9726,,,,,,,,,,,CIRB
San Mateo County,2004,633,478,1111,0.5698,0.4302,,,,,,,,,,,CIRB
Santa Clara County,2004,2689,2816,5505,0.4885,0.5115,,,,,,,,,,,CIRB
Solano County,2004,2418,604,3022,0.8001,0.1999,,,,,,,,,,,CIRB
Sonoma County,2004,1343,598,1941,0.6919,0.3081,,,,,,,,,,,CIRB
Alameda County,2005,1518,2898,4416,0.3438,0.6562,,,,,,,,,,,CIRB
Contra Costa County,2005,5452,860,6312,0.8638,0.1362,,,,,,,,,,,CIRB
Marin County,2005,326,150,476,0.6849,0.3151,,,,,,,,,,,CIRB
Napa County,2005,533,120,653,0.8162,0.1838,,,,,,,,,,,CIRB
San Francisco County,2005,53,2671,2724,0.0195,0.9805,,,,,,,,,,,CIRB
San Mateo County,2005,427,465,892,0.4787,0.5213,,,,,,,,,,,CIRB
Santa Clara County,2005,2577,3295,5872,0.4389,0.5611,,,,,,,,,,,CIRB
Solano County,2005,2161,392,2553,0.8465,0.1535,,,,,,,,,,,CIRB
Sonoma County,2005,1639,1364,3003,0.5458,0.4542,,,,,,,,,,,CIRB
Alameda County,2006,1681,4035,5716,0.2941,0.7059,,,,,,,,,,,CIRB
Contra Costa County,2006,3310,1178,4488,0.7375,0.2625,,,,,,,,,,,CIRB
Marin County,2006,155,51,206,0.7524,0.2476,,,,,,,,,,,CIRB
Napa County,2006,263,240,503,0.5229,0.4771,,,,,,,,,,,CIRB
San Francisco County,2006,100,2892,2992,0.0334,0.9666,,,,,,,,,,,CIRB
San Mateo County,2006,445,492,937,0.4749,0.5251,,,,,,,,,,,CIRB
Santa Clara County,2006,2132,4072,6204,0.3436,0.6564,,,,,,,,,,,CIRB
Solano County,2006,1081,219,1300,0.8315,0.1685,,,,,,,,,,,CIRB
Sonoma County,2006,1361,601,1962,0.6937,0.3063,,,,,,,,,,,CIRB
Alameda County,2007,1340,1911,3251,0.4122,0.5878,,,,,,,,,,,CIRB
Contra Costa County,2007,2698,909,3607,0.748,0.252,,,,,,,,,,,CIRB
Marin County,2007,151,10,161,0.9379,0.0621,,,,,,,,,,,CIRB
Napa County,2007,262,52,314,0.8344,0.1656,,,,,,,,,,,CIRB
San Francisco County,2007,57,2791,2848,0.02,0.98,,,,,,,,,,,CIRB
San Mateo County,2007,658,367,1025,0.642,0.358,,,,,,,,,,,CIRB
Santa Clara County,2007,2063,2520,4583,0.4501,0.5499,,,,,,,,,,,CIRB
Solano County,2007,820,153,973,0.8428,0.1572,,,,,,,,,,,CIRB
Sonoma County,2007,904,622,1526,0.5924,0.4076,,,,,,,,,,,CIRB
Alameda County,2008,761,1296,2057,0.37,0.63,,,,,,,,,,,CIRB
Contra Costa County,2008,985,909,1894,0.5201,0.4799,,,,,,,,,,,CIRB
Marin County,2008,147,25,172,0.8547,0.1453,,,,,,,,,,,CIRB
Napa County,2008,215,32,247,0.8704,0.1296,,,,,,,,,,,CIRB
San Francisco County,2008,52,2395,2447,0.0213,0.9787,,,,,,,,,,,CIRB
San Mateo County,2008,312,630,942,0.3312,0.6688,,,,,,,,,,,CIRB
Santa Clara County,2008,1254,2417,3671,0.3416,0.6584,,,,,,,,,,,CIRB
Solano County,2008,323,239,562,0.5747,0.4253,,,,,,,,,,,CIRB
Sonoma County,2008,546,45,591,0.9239,0.0761,,,,,,,,,,,CIRB
Alameda County,2009,802,536,1338,0.5994,0.4006,,,,,,,,,,,CIRB
Contra Costa County,2009,1038,163,1201,0.8643,0.1357,,,,,,,,,,,CIRB
Marin County,2009,65,97,162,0.4012,0.5988,,,,,,,,,,,CIRB
Napa County,2009,126,6,132,0.9545,0.0455,,,,,,,,,,,CIRB
San Francisco County,2009,21,282,303,0.0693,0.9307,,,,,,,,,,,CIRB
San Mateo County,2009,236,393,629,0.3752,0.6248,,,,,,,,,,,CIRB
Santa Clara County,2009,667,450,1117,0.5971,0.4029,,,,,,,,,,,CIRB
Solano County,2009,559,0,559,1,0,,,,,,,,,,,CIRB
Sonoma County,2009,359,71,430,0.8349,0.1651,,,,,,,,,,,CIRB
Alameda County,2010,907,936,1843,0.4921,0.5079,,,,,,,,,,,CIRB
Contra Costa County,2010,809,890,1699,0.4762,0.5238,,,,,,,,,,,CIRB
Marin County,2010,75,0,75,1,0,,,,,,,,,,,CIRB
Napa County,2010,106,0,106,1,0,,,,,,,,,,,CIRB
San Francisco County,2010,25,749,774,0.0323,0.9677,,,,,,,,,,,CIRB
San Mateo County,2010,216,111,327,0.6606,0.3394,,,,,,,,,,,CIRB
Santa Clara County,2010,826,3627,4453,0.1855,0.8145,,,,,,,,,,,CIRB
Solano County,2010,441,0,441,1,0,,,,,,,,,,,CIRB
Sonoma County,2010,280,190,470,0.5957,0.4043,,,,,,,,,,,CIRB
Alameda County,2011,817,1352,2169,0.3767,0.6233,,,,,,,,,,,CHF
Contra Costa County,2011,718,355,1073,0.6692,0.3308,,,,,,,,,,,CHF
Marin County,2011,55,61,116,0.4741,0.5259,,,,,,,,,,,CHF
Napa County,2011,128,26,154,0.8312,0.1688,,,,,,,,,,,CHF
San Francisco County,2011,30,1972,2002,0.015,0.985,,,,,,,,,,,CHF
San Mateo County,2011,213,545,758,0.281,0.719,,,,,,,,,,,CHF
Santa Clara County,2011,978,2234,3212,0.3045,0.6955,,,,,,,,,,,CHF
Solano County,2011,392,0,392,1,0,,,,,,,,,,,CHF
Sonoma County,2011,443,184,627,0.7065,0.2935,,,,,,,,,,,CHF
Alameda County,2012,1119,1508,2627,0.426,0.574,,,,,,,,,,,CHF
Contra Costa County,2012,1188,949,2137,0.5559,0.4441,,,,,,,,,,,CHF
Marin County,2012,67,50,117,0.5726,0.4274,,,,,,,,,,,CHF
Napa County,2012,133,20,153,0.8693,0.1307,,,,,,,,,,,CHF
San Francisco County,2012,30,3145,3175,0.0094,0.9906,,,,,,,,,,,CHF
San Mateo County,2012,264,671,935,0.2824,0.7176,,,,,,,,,,,CHF
Santa Clara County,2012,1432,4245,5677,0.2522,0.7478,,,,,,,,,,,CHF
Solano County,2012,470,59,529,0.8885,0.1115,,,,,,,,,,,CHF
Sonoma County,2012,279,318,597,0.4673,0.5327,,,,,,,,,,,CHF
Alameda County,2013,1339,2023,3362,0.3983,0.6017,,,,,,,,,,,CHF
Contra Costa County,2013,1585,370,1955,0.8107,0.1893,,,,,,,,,,,CHF
Marin County,2013,90,212,302,0.298,0.702,,,,,,,,,,,CHF
Napa County,2013,97,140,237,0.4093,0.5907,,,,,,,,,,,CHF
San Francisco County,2013,69,5208,5277,0.0131,0.9869,,,,,,,,,,,CHF
San Mateo County,2013,350,840,1190,0.2941,0.7059,,,,,,,,,,,CHF
Santa Clara County,2013,1859,6009,7868,0.2363,0.7637,,,,,,,,,,,CHF
Solano County,2013,524,281,805,0.6509,0.3491,,,,,,,,,,,CHF
Sonoma County,2013,295,732,1027,0.2872,0.7128,,,,,,,,,,,CHF
Alameda County,2014,997,1945,2942,0.3389,0.6611,231,5,69,2454,0.0785,0.0017,0.0235,0.8341,236,0.0802,ABAG
Contra Costa County,2014,1447,685,2132,0.6787,0.3213,60,7,398,1667,0.0281,0.0033,0.1867,0.7819,67,0.0314,ABAG
Marin County,2014,159,134,293,0.5427,0.4573,48,79,21,145,0.1638,0.2696,0.0717,0.4949,127,0.4334,ABAG
Napa County,2014,68,89,157,0.4331,0.5669,72,23,5,57,0.4586,0.1465,0.0318,0.3631,95,0.6051,ABAG
San Francisco County,2014,94,3940,4034,0.0233,0.9767,347,632,159,2896,0.086,0.1567,0.0394,0.7179,979,0.2427,ABAG
San Mateo County,2014,229,1731,1960,0.1168,0.8832,154,26,95,1685,0.0786,0.0133,0.0485,0.8597,180,0.0918,ABAG
Santa Clara County,2014,1869,8135,10004,0.1868,0.8132,446,225,80,9248,0.0446,0.0225,0.008,0.9244,671,0.0671,ABAG
Solano County,2014,506,16,522,0.9693,0.0307,2,70,78,372,0.0038,0.1341,0.1494,0.7126,72,0.1379,ABAG
Sonoma County,2014,244,320,564,0.4326,0.5674,12,102,47,403,0.0213,0.1809,0.0833,0.7145,114,0.2021,ABAG
Alameda County,2015,1257,3561,4818,0.2609,0.7391,350,185,61,4222,0.0726,0.0384,0.0127,0.8763,535,0.111,ABAG
Contra Costa County,2015,2015,834,2849,0.7073,0.2927,1,21,191,2636,0.0004,0.0074,0.067,0.9252,30,0.0105,ABAG
Marin County,2015,206,29,235,0.8766,0.1234,26,17,17,175,0.1106,0.0723,0.0723,0.7447,43,0.183,ABAG
Napa County,2015,115,164,279,0.4122,0.5878,1,16,136,126,0.0036,0.0573,0.4875,0.4516,17,0.0609,ABAG
San Francisco County,2015,85,4537,4622,0.0184,0.9816,213,1595,249,2565,0.0461,0.3451,0.0539,0.555,1808,0.3912,ABAG
San Mateo County,2015,212,2233,2445,0.0867,0.9133,57,92,59,2237,0.0233,0.0376,0.0241,0.9149,149,0.0609,ABAG
Santa Clara County,2015,1245,3796,5040,0.247,0.7532,178,337,51,4475,0.0353,0.0669,0.0101,0.8879,515,0.1022,ABAG
Solano County,2015,861,350,1211,0.711,0.289,20,58,449,684,0.0165,0.0479,0.3708,0.5648,78,0.0644,ABAG
Sonoma County,2015,212,422,634,0.3344,0.6656,55,93,109,377,0.0868,0.1467,0.1719,0.5946,148,0.2334,ABAG
Alameda County,2016,1515,3246,4761,0.3182,0.6818,277,72,412,412,0.0582,0.0151,0.0865,0.0865,761,0.1598,ABAG
Contra Costa County,2016,1771,1161,2932,0.604,0.396,171,319,303,303,0.0583,0.1088,0.1033,0.1033,793,0.2705,ABAG
Marin County,2016,81,34,115,0.7043,0.2957,11,19,11,11,0.0957,0.1652,0.0957,0.0957,32,0.2783,ABAG
Napa County,2016,91,86,177,0.5141,0.4859,0,6,12,12,0,0.0339,0.0678,0.0678,6,0.0339,ABAG
San Francisco County,2016,176,5057,5233,0.0336,0.9664,276,353,238,238,0.0527,0.0675,0.0455,0.0455,867,0.1657,ABAG
San Mateo County,2016,455,1093,1548,0.2939,0.7061,75,61,136,136,0.0484,0.0394,0.0879,0.0879,221,0.1428,ABAG
Santa Clara County,2016,1199,3643,4842,0.2476,0.7524,399,118,62,62,0.0824,0.0244,0.0128,0.0128,579,0.1196,ABAG
Solano County,2016,858,1,859,0.9988,0.0012,3,10,251,251,0.0035,0.0116,0.2922,0.2922,264,0.3073,ABAG
Sonoma County,2016,299,563,862,0.3469,0.6531,89,25,67,67,0.1032,0.029,0.0777,0.0777,217,0.2517,ABAG
